Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
First-line supervisors of fire fighting and prevention workers    * Fire Lieutenant* Municipal Fire Fighting and Prevention Supervisor* Supervising Fire Marshal,,"76,330",Postsecondary nondegree award,5,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of food preparation and serving workers    * Banquet Supervisor* Bar Manager* Cafeteria Manager* Dairy Bar Manager* Food Service Supervisor* Head Waiter* Head Waitress* Kitchen Supervisor,,"32,450",High school diploma or equivalent,7,Less than 5 years,None
First-line supervisors of gaming workers,,"49,420",High school diploma or equivalent,7,Less than 5 years,None
First-line supervisors of housekeeping and janitorial workers    * Building Cleaning Supervisor* Cleaning Staff Supervisor* Custodial Supervisor* Head Custodian* Head School Custodian* Janitor Supervisor* Maid Supervisor* Maintenance and Custodian Supervisor,,"39,940",High school diploma or equivalent,7,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers    * Gardening Supervisor* Greenskeeper Supervisor* Grounds Crew Supervisor* Grounds Foreman* Grounds Maintenance Supervisor* Head Greenskeeper* Horticultural Services Supervisor* Landscape Installation Foreman* Turf and Grounds Supervisor",,"48,220",High school diploma or equivalent,7,Less than 5 years,None
"First-line supervisors of mechanics, installers, and repairers    * Automobile Body Repair Supervisor* Body Shop Supervisor* Electronic Maintenance Supervisor* Fleet Maintenance Supervisor* Heating, Ventilation, and Air Conditioning Supervisor* Oil Field Equipment Mechanic Supervisor* Railroad Car Repair Supervisor* Repair Department Supervisor",,"66,140",High school diploma or equivalent,7,Less than 5 years,None
First-line supervisors of non-retail sales workers    * Blood Donor Recruiter Supervisor* Insurance Sales Supervisor* Radio Time Sales Supervisor* Real Estate Sales Supervisor* Stock Broker Supervisor* Telemarketer Supervisor* Telemarketing Manager* Telesales Supervisor,,"73,390",High school diploma or equivalent,7,Less than 5 years,None
First-line supervisors of office and administrative support workers    * Accounts Payable Supervisor* Billing Department Supervisor* Billing Supervisor* Clerical Supervisor* Data Entry Supervisor* Medical Billing Supervisor* Office Services Supervisor* Payroll Supervisor* Records Supervisor* Teller Supervisor* Timekeeping Supervisor,,"55,810",High school diploma or equivalent,7,Less than 5 years,None
First-line supervisors of personal service workers    * Animal Trainer Supervisor* Caddy Master* Head Butler* Recreation Attendant Supervisor,,"38,400",High school diploma or equivalent,7,Less than 5 years,None
First-line supervisors of police and detectives    * Commanding Officer Homicide Squad* Detective Lieutenant* Detective Supervisor* Police Lieutenant* Traffic Lieutenant* Traffic Sergeant,,"89,030",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of production and operating workers    * Assembly Line Supervisor* Assembly Supervisor* Die Cast Supervisor* Machine Assembler Supervisor* Machinist Supervisor* Molding Supervisor* Paper Machine Supervisor* Printing Supervisor* Printing Worker Supervisor* Tool Room Supervisor,,"60,420",High school diploma or equivalent,7,Less than 5 years,None
"First-line supervisors of protective service workers, all other    * Animal Control Supervisor* Animal Cruelty Investigation Supervisor* Security Guard Supervisor* Transportation Security Administration (TSA) Screener Supervisor",,"49,640",High school diploma or equivalent,7,Less than 5 years,None
First-line supervisors of retail sales workers    * Assistant Store Manager* Cashier Manager* Cashier Supervisor* Delicatessen Department Manager* Produce Department Supervisor* Sales Clerk Supervisor* Used Car Sales Supervisor,,"39,630",High school diploma or equivalent,7,Less than 5 years,None
"First-Line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",,"55,600",High school diploma or equivalent,7,Less than 5 years,None
Fish and game wardens    * Conservation Enforcement Officer* Fish Warden* Fish and Game Warden* Fish and Wildlife Warden* Game Warden* Wildlife Control Agent* Wildlife Officer* Wildlife and Game Protector,,"57,710",Bachelor's degree,3,None,Moderate-term on-the-job training
Fishing and hunting workers,,N/A,No formal educational credential,8,None,Moderate-term on-the-job training
Fitness trainers and aerobics instructors    * Aerobics Instructor* Certified Personal Trainer* Fitness Trainer* Group Exercise Instructor* Group Fitness Instructor* Personal Fitness Trainer* Personal Trainer* Weight Trainer* Weight Training Instructor* Yoga Instructor* Yoga Teacher,,"39,820",High school diploma or equivalent,7,None,Short-term on-the-job training
Flight attendants    * Airline Flight Attendant* Airplane Flight Attendant* Flight Steward,,"56,000",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles    * Composition Floor Layer* Cork Floor Installer* Laminate Floor Installer* Linoleum Installer* Resilient Tile Installer* Shock-Absorption Floor Layer* Vinyl Flooring Installer* Vinyl Installer",,"42,760",No formal educational credential,8,None,Moderate-term on-the-job training
Floor sanders and finishers    * Floor Finisher* Floor Refinisher* Floor Sander* Floor Sanding Machine Operator* Floor Scraper* Hardwood Finisher,,"37,510",No formal educational credential,8,None,Moderate-term on-the-job training
Floral designers    * Corsage Maker* Floral Arranger* Floral Artist* Floral Decorator* Florist* Florist Designer* Flower Arranger,,"27,200",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Food and tobacco roasting, baking, and drying machine operators and tenders    * Bean Roaster* Coffee Roaster* Fish Smoker* Food Dehydrator Operator* Grain Roaster* Malt House Kiln Operator* Meat Curer* Meat Smoker* Sausage Smoker* Smokehouse Worker* Tobacco Drier Operator",,"30,840",No formal educational credential,8,None,Moderate-term on-the-job training
Food batchmakers    * Almond Paste Mixer* Candy Maker* Candy Puller* Cheese Processor* Cottage Cheese Maker* Dough Scaler and Mixer* Frozen Yogurt Maker* Honey Blender* Ice Cream Maker* Liquid Sugar Fortifier* Peanut Butter Maker* Pickle Maker* Relish Maker* Taffy Puller,,"29,720",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Food cooking machine operators and tenders    * Doughnut Machine Operator* Dumpling Machine Operator* Fish Fryer* Food Cooking Machine Operator* Kettle Fry Cook Operator* Pierogi Maker* Potato Chip Frier* Tripe Cooker,,"30,120",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Food preparation and serving related workers, all other    * Kitchen Steward",,"23,850",No formal educational credential,8,None,Short-term on-the-job training
Food preparation workers    * Deli Clerk* Deli Slicer* Food Preparer* Fruit and Vegetable Parer* Salad Maker* Sandwich Maker,,"23,730",No formal educational credential,8,None,Short-term on-the-job training
"Food processing workers, all other    * Olive Pitter* Pasta Press Operator* Poultry Hanger* Yeast Maker",,"25,870",No formal educational credential,8,None,Moderate-term on-the-job training
Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist,,"65,300",Bachelor's degree,3,None,None
"Food servers, nonrestaurant    * Boat Hop* Hospital Food Service Worker* Room Service Food Server",,"23,290",No formal educational credential,8,None,Short-term on-the-job training
Food service managers    * Banquet Director* Banquet Manager* Cafeteria Director* Food Service Director* Food Service Manager* Food and Beverage Manager* Restaurant General Manager* Tavern Operator,,"54,240",High school diploma or equivalent,7,Less than 5 years,None
"Foreign language and literature teachers, postsecondary    * Arabic Professor* Biblical Languages Professor* Chinese Language Professor* French Professor* German Professor* Greek Professor* Hebrew Professor* Japanese Professor* Russian Language Professor* Spanish Literature Professor",,"67,640",Doctoral or professional degree,1,None,None
Forensic science technicians    * Ballistic Technician* Ballistician* Ballistics Expert* Crime Lab Technician* Crime Scene Technician* Criminalist Technician* Fingerprint Expert* Forensic Analyst* Forensic Science Technician* Handwriting Expert* Trace Evidence Technician* Wildlife Forensic Geneticist,,"58,230",Bachelor's degree,3,None,Moderate-term on-the-job training
Forest and conservation technicians    * Forest Technician* Forestry Aide* Forestry Technician* Natural Resources Technician* Soil Conservation Technician* Timber Management Technician,,"37,180",Associate's degree,4,None,None
Forest and conservation workers    * Forest Nursery Worker* Forester Aide* Forestry Laborer* Rangelands Conservation Laborer* Reforestation Worker* Seedling Puller* Wetlands Conservation Laborer,,"27,460",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists    * Environmental Protection Fire Control Officer* Fire Control Officer* Fire Operations Forester* Fire Ranger* Forest Fire Control Officer* Forest Fire Officer* Wildfire Prevention Specialist* Wildland Fire Operations Specialist,,"39,600",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester,,"61,410",Bachelor's degree,3,None,None
"Forestry and conservation science teachers, postsecondary    * Ecology Professor* Environmental Conservation Professor* Forest Biometrics Professor* Forest Ecology Professor* Forest Management Professor* Forest Pathology Professor* Forest Resources Professor* Forest Technology Professor* Silviculture Professor* Timber Management Professor* Wildlife Conservation Professor",,"86,900",Doctoral or professional degree,1,None,None
"Forging machine setters, operators, and tenders, metal and plastic    * Cold Header Operator* Forging Roll Operator* Header Setup Operator* Spike Machine Operator* Swager Operator* Swaging Machine Operator",,"38,900",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Foundry mold and coremakers    * Airset Caster* Airset Molder* Core Stripper* Foundry Molder* Green Sand Molder* No Bake Molder* Sand Molder* Wax Pattern Coater,,"35,430",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Fundraisers    * Campaign Fundraiser* Donor Relations Officer* Fundraising Officer,,"56,950",Bachelor's degree,3,None,None
Funeral attendants    * Funeral Assistant* Funeral Attendant* Funeral Greeter* Funeral Home Assistant* Funeral Home Associate* Mortician Helper* Pallbearer* Undertaker Helper,,"26,400",High school diploma or equivalent,7,None,Short-term on-the-job training
Funeral service managers    * Funeral Home Director* Funeral Home Manager,,"79,180",Associate's degree,4,Less than 5 years,None
